Provinsi,Tahun,Produksi_Beras_Ton,Konsumsi_Total_Ton,harga_rata2beras_konsumen,Risk_Score_IKP,Kelompok_IKP,Kerentanan_Area,Surplus_Defisit_Ton,edr_kberas,Produksi_DagingSapi_Ton,Produksi_Jagung_Ton
Lampung,2022,1720960.032,1296522.4857142859,10967.666666666666,78.61,6,Sangat Tahan,424437.546285714,0.0,21176.2,1443095.58
Lampung,2023,1765606.421238,1315935.142857143,12378.916666666666,81.56,6,Sangat Tahan,449671.2783808571,0.0,22895.2,1103640.11
Lampung,2024,1787020.6887059999,1330854.9142857145,13536.354838709678,82.58,6,Sangat Tahan,456165.77442028536,0.0,18624.97,1107739.0
Maluku,2021,74777.709534,352031.39999999997,13408.416666666666,58.7,4,Agak Tahan,-277253.690466,0.787582273814211,2306.54,14691.93
Maluku,2022,59283.198612,355641.3,13462.083333333334,60.2,4,Agak Tahan,-296358.101388,0.8333062031546955,2308.12,15687.0
Maluku,2023,51189.329267999994,362974.49999999994,14737.25,64.37,4,Agak Tahan,-311785.17073199997,0.8589726571205416,2555.7,7663.29
Maluku,2024,58338.44907,367718.39999999997,15560.354838709678,62.68,4,Agak Tahan,-309379.95092999993,0.8413502042051743,1279.24,7582.6
Maluku Utara,2021,17958.12216,218887.36,13438.833333333334,59.58,4,Agak Tahan,-200929.23784,0.9179572444932407,1300.92,10328.93
Maluku Utara,2022,15675.956406,222273.7792857143,13371.791666666666,58.39,4,Agak Tahan,-206597.82287971428,0.9294745585539809,1320.51,7712.31
Maluku Utara,2023,17069.799845999998,225272.69785714286,14876.375,62.34,4,Agak Tahan,-208202.89801114285,0.9242260602000476,950.1,6870.64
Maluku Utara,2024,19995.33459,228389.55142857143,16012.387096774193,61.44,4,Agak Tahan,-208394.21683857142,0.9124507471338787,1530.33,4530.02
Nusa Tenggara Barat,2021,908802.209568,1807704.9375,10577.708333333334,75.67,6,Sangat Tahan,-898902.727932,0.49726186463547234,11014.08,1019224.88
Nusa Tenggara Barat,2022,930175.389,1835776.3481249998,10352.875,76.58,6,Sangat Tahan,-905600.9591249998,0.49330680180619507,11159.01,1421921.9
Nusa Tenggara Barat,2023,984971.3361839999,1864820.364375,12175.0,76.51,6,Sangat Tahan,-879849.028191,0.4718143607820821,10083.2,1281035.02
Nusa Tenggara Barat,2024,930472.0384740001,1893562.5375,13701.58064516129,78.44,6,Sangat Tahan,-963090.499026,0.5086129873996834,11356.76,1209784.0
Nusa Tenggara Timur,2021,468548.129148,4327894.5125,11634.583333333334,67.35,5,Tahan,-3859346.3833520003,0.8917376272007739,8176.8,285344.59
Nusa Tenggara Timur,2022,484023.14598000003,4391033.237500001,11621.666666666666,68.42,5,Tahan,-3907010.0915200007,0.8897701019781907,8680.44,293719.22
Nusa Tenggara Timur,2023,490912.05649199995,4473611.6208333345,13491.458333333334,71.25,5,Tahan,-3982699.5643413346,0.8902649362305274,9395.6,261854.94
Nusa Tenggara Timur,2024,453128.784108,4543417.666666667,14482.483870967742,70.91,5,Tahan,-4090288.882558667,0.9002669757983216,6234.53,293052.3
Papua,2021,183276.32796,496795.59,13625.25,35.48,1,Sangat Rentan,-313519.26204000006,0.6310830215703003,2430.88,16119.68
Papua,2022,124162.6287,504004.45285714284,14135.416666666666,37.8,2,Rentan,-379841.82415714284,0.7536477545066588,2616.77,15140.06
Papua,2023,2407.44009,511315.97357142856,15484.125,42.27,2,Rentan,-508908.5334814286,0.9952916783076724,1150.9,3428.88
Papua,2024,2951.2899899999998,120976.58142857143,16063.064516129032,40.21,2,Rentan,-118025.29143857142,0.9756044520753585,683.22,3913.44
Papua Barat,2021,17238.620586,128165.17714285714,13741.583333333334,46.05,2,Rentan,-110926.55655685713,0.8654968457868609,1832.35,4753.17
Papua Barat,2022,15341.701583999999,131101.18785714285,14235.291666666666,45.92,2,Rentan,-115759.48627314286,0.882978164921607,1506.02,6481.32
Papua Barat,2023,14447.271762,131544.35928571428,15395.166666666666,47.95,2,Rentan,-117097.08752371428,0.8901718641494879,379.6,3311.21
Papua Barat,2024,13270.80183,64115.826428571425,16094.58064516129,51.36,3,Agak Rentan,-50845.02459857143,0.7930183143660419,742.54,3720.1
Papua Barat Daya,2021,0.0,0.0,,46.05,2,Rentan,0.0,0.0,0.0,0.0
Papua Barat Daya,2022,0.0,0.0,,45.92,2,Rentan,0.0,0.0,0.0,0.0
Papua Barat Daya,2023,1534.52739,0.0,,47.95,2,Rentan,1534.52739,0.0,682.6,1412.21
Papua Barat Daya,2024,632.927328,70862.3,16054.258064516129,51.36,3,Agak Rentan,-70229.372672,0.9910682079469618,325.41,1188.57
Papua Pegunungan,2021,0.0,0.0,,35.48,1,Sangat Rentan,0.0,0.0,0.0,0.0
Papua Pegunungan,2022,0.0,0.0,,37.8,2,Rentan,0.0,0.0,0.0,0.0
Papua Pegunungan,2023,39.455526,0.0,,42.27,2,Rentan,39.455526,0.0,214.4,278.85
